trade_date,symbol,name,direction,entry_datetime,entry_price,shares,entry_value,exit_reason,commission,stamp_tax,slippage,signal_id,portfolio_equity_before
2026-05-08,159915.SZ,,SHORT,2026-05-08 11:03:00,3.8030975000000002,23200,88125.9837656,5.6,17.646372400000004,88.231862,44.1379999999981,203,91291.54437360018
2026-05-11,159915.SZ,,LONG,2026-05-11 09:35:00,3.8429205,23000,88404.8489343,4.2.1,17.6774343,0.0,44.1714999999947,204,91141.52813920018
2026-05-13,159915.SZ,,SHORT,2026-05-13 10:04:00,3.9030475,23000,89662.36838900001,5.6,17.9540185,89.7700925,44.90749999999544,205,92551.67920490018
2026-05-20,159915.SZ,,LONG,2026-05-20 14:46:00,3.9289634999999996,22800,89598.28387356,tail_3,17.91607356,0.0,44.76779999999003,206,92399.04759390019
2026-05-21,159915.SZ,,SHORT,2026-05-21 14:23:00,3.892053,22800,88632.32182992001,5.1.2,17.747761680000004,88.73880840000001,44.3915999999982,207,91583.9637203402
2026-05-26,159915.SZ,,LONG,2026-05-26 09:59:00,4.0270125000000005,22000,88611.99385500001,4.1.2,17.718855,0.0,44.27500000000428,208,91433.0855502602
2026-05-27,159915.SZ,,SHORT,2026-05-27 13:46:00,4.0289845,22000,88531.2938092,5.1.1,17.7275318,88.637659,44.34099999999397,209,91503.0916952602
2026-05-28,159915.SZ,,LONG,2026-05-28 14:46:00,4.1370675,21400,88550.95114889999,tail_3,17.706648899999998,0.0,44.24449999999762,210,91352.3855044602
2026-05-29,159915.SZ,,SHORT,2026-05-29 10:06:00,4.0909535,21400,87441.34921412001,5.6,17.509280980000003,87.54640490000001,43.79509999999183,211,90391.6343555602
2026-06-02,159915.SZ,,LONG,2026-06-02 14:46:00,4.0750365,21400,87223.22225622,tail_2,17.441156220000003,0.0,43.58109999999993,212,90242.78356968022
2026-06-04,159915.SZ,,SHORT,2026-06-04 09:31:00,4.0829575,21400,87270.4401514,5.2,17.475058100000002,87.3752905,43.70949999999887,213,90438.56131346022
2026-06-15,159915.SZ,,LONG,2026-06-15 14:46:00,4.0390185,21600,87260.24815992,tail_2,17.44855992,0.0,43.599600000003136,214,90290.00146486022
2026-06-23,159915.SZ,,SHORT,2026-06-23 09:40:00,4.325836000000001,21600,93325.93193088002,5.6,18.687611520000004,93.43805760000002,46.74239999999159,215,96514.55330494023
2026-06-25,159915.SZ,,LONG,2026-06-25 14:46:00,4.3811895,21300,93338.00021727,tail_3,18.66386727,0.0,46.636350000001414,216,96355.68523582024
2026-06-26,159915.SZ,,SHORT,2026-06-26 09:31:00,4.325836000000001,21300,92029.73843184001,5.6,18.428061360000004,92.14030680000002,46.09319999999171,217,95204.08501855025
2026-06-30,159915.SZ,,LONG,2026-06-30 09:49:00,4.2771375,21500,91976.84794125,4.1.1,18.39169125,0.0,45.95624999999792,218,95047.42345039026
2026-07-01,159915.SZ,,SHORT,2026-07-01 10:16:00,4.3108435,21500,92571.9154877,5.6,18.53662705,92.68313524999999,46.364749999997734,219,95800.07550914025
2026-07-10,159915.SZ,,LONG,2026-07-10 09:41:00,4.062029999999999,22800,92632.80685679999,4.1.2,18.5228568,0.0,46.283999999989334,220,95642.49099684025
2026-07-13,159915.SZ,,SHORT,2026-07-13 09:31:00,3.8080950000000002,22800,86720.37652080001,5.2,17.364913200000004,86.824566,43.433999999995976,322,89877.68414004026
2026-07-15,159915.SZ,,LONG,2026-07-15 09:31:00,3.8869424999999995,22300,86696.15351354999,4.2.3-1,17.33576355,0.0,43.31774999999411,323,89730.06066084027
2026-07-16,159915.SZ,,SHORT,2026-07-16 09:31:00,3.7671155000000005,22300,83905.86763922,5.6,16.801335130000002,84.00667565,42.024349999991585,351,87082.60714729028
2026-07-27,159915.SZ,,LONG,2026-07-27 14:46:00,3.609804,23300,84125.25488664,tail_1,16.82168664,0.0,42.03319999999806,352,86939.77478651029
2026-07-28,159915.SZ,,SHORT,2026-07-28 09:31:00,3.5112435,23300,81713.79918174,5.6,16.36239471,81.81197354999999,40.92644999999857,353,84667.41989987028
2026-07-31,159915.SZ,,LONG,2026-07-31 09:43:00,3.4567275,23700,81940.82663835,4.2.3-2,16.38488835,0.0,40.9417499999972,354,84528.31908161029
